code,median_pay_annual,entry_education,work_experience,training,outlook_pct,outlook_desc
0110,,Bachelor's degree + military training,None,Military academy,-5,Recruitment difficult
0210,,Bachelor's degree + military training,None,Military academy,-5,Recruitment difficult
0310,,Upper secondary,None,Military training,-5,Recruitment difficult
1111,,Master's degree,5+ years,None,5,Good prospects
1112,,Master's degree,5+ years,None,5,Good prospects
11121,,Bachelor's degree,3-5 years,None,6,Moderate prospects
11122,,Bachelor's degree,3-5 years,None,6,Moderate prospects
1114,,Bachelor's degree,3-5 years,None,6,Moderate prospects
11141,,Bachelor's degree,3-5 years,None,6,Moderate prospects
11142,,Bachelor's degree,3-5 years,None,6,Moderate prospects
1120,,Master's degree,5+ years,None,10,Very good prospects
1211,,Bachelor's degree,3-5 years,None,8,Good prospects
1212,,Bachelor's degree,3-5 years,None,8,Good prospects
1213,,Bachelor's degree,3-5 years,None,7,Good prospects
1219,,Bachelor's degree,3-5 years,None,6,Moderate prospects
1221,,Bachelor's degree,3-5 years,None,8,Good prospects
1222,,Bachelor's degree,3-5 years,None,7,Good prospects
1223,,Bachelor's degree,3-5 years,None,7,Good prospects
1311,,Bachelor's degree,2-4 years,None,8,Good prospects
1312,,Bachelor's degree,2-4 years,None,7,Good prospects
1321,,Bachelor's degree,2-4 years,None,8,Good prospects
1322,,Bachelor's degree,2-4 years,None,7,Good prospects
1323,,Bachelor's degree,2-4 years,None,6,Moderate prospects
1324,,Bachelor's degree,2-4 years,None,6,Moderate prospects
1330,,Bachelor's degree,2-4 years,None,7,Good prospects
1341,,Bachelor's degree,2-4 years,None,7,Good prospects
1342,,Bachelor's degree,2-4 years,None,6,Moderate prospects
1343,,Bachelor's degree,2-4 years,None,6,Moderate prospects
1344,,Bachelor's degree,2-4 years,None,5,Moderate prospects
1345,,Bachelor's degree,2-4 years,None,5,Moderate prospects
1346,,Bachelor's degree,2-4 years,None,5,Moderate prospects
1349,,Bachelor's degree,2-4 years,None,5,Moderate prospects
1411,,Upper secondary,None,Vocational training,3,Stable
1412,,Upper secondary,None,Vocational training,3,Stable
1420,,Upper secondary,None,Vocational training,3,Stable
1431,,Upper secondary,None,Vocational training,2,Stable
1439,,Upper secondary,None,Vocational training,2,Stable
2111,,Bachelor's degree,2-4 years,None,7,Good prospects
2112,,Bachelor's degree,2-4 years,None,7,Good prospects
2113,,Bachelor's degree,2-4 years,None,6,Moderate prospects
2114,,Bachelor's degree,2-4 years,None,7,Good prospects
2120,,Bachelor's degree,2-4 years,None,7,Good prospects
2131,,Bachelor's degree,2-4 years,None,8,Good prospects
2132,,Bachelor's degree,2-4 years,None,8,Good prospects
21321,,Bachelor's degree,2-4 years,None,6,Moderate prospects
21322,,Bachelor's degree,2-4 years,None,6,Moderate prospects
2133,,Bachelor's degree,2-4 years,None,7,Good prospects
2141,,Bachelor's degree,2-4 years,None,7,Good prospects
2142,,Bachelor's degree,2-4 years,None,7,Good prospects
2143,,Bachelor's degree,2-4 years,None,6,Moderate prospects
2144,,Bachelor's degree,2-4 years,None,7,Good prospects
2145,,Bachelor's degree,2-4 years,None,6,Moderate prospects
2146,,Bachelor's degree,2-4 years,None,5,Moderate prospects
2149,,Bachelor's degree,2-4 years,None,6,Moderate prospects
2151,,Bachelor's degree,2-4 years,None,8,Good prospects
2152,,Bachelor's degree,2-4 years,None,7,Good prospects
2153,,Bachelor's degree,2-4 years,None,7,Good prospects
21531,,Bachelor's degree,2-4 years,None,6,Moderate prospects
21532,,Bachelor's degree,2-4 years,None,6,Moderate prospects
216,,Bachelor's degree,2-4 years,None,6,Moderate prospects
2161,,Bachelor's degree,2-4 years,None,7,Good prospects
2162,,Bachelor's degree,2-4 years,None,6,Moderate prospects
2163,,Bachelor's degree,2-4 years,None,5,Moderate prospects
2164,,Bachelor's degree,2-4 years,None,5,Moderate prospects
2165,,Bachelor's degree,2-4 years,None,5,Moderate prospects
2166,,Bachelor's degree,2-4 years,None,4,Below average
2211,,Doctoral degree,5+ years,Specialist training,9,Very good prospects
2212,,Bachelor's degree,3-5 years,None,8,Good prospects
22121,,Bachelor's degree,2-4 years,None,6,Moderate prospects
22122,,Bachelor's degree,2-4 years,None,6,Moderate prospects
2221,,Bachelor's degree,3-5 years,None,8,Good prospects
22211,,Bachelor's degree,2-4 years,None,6,Moderate prospects
22212,,Bachelor's degree,2-4 years,None,6,Moderate prospects
2250,,Bachelor's degree,2-4 years,None,5,Moderate prospects
226,,Bachelor's degree,2-4 years,None,6,Moderate prospects
2261,,Bachelor's degree,2-4 years,None,6,Moderate prospects
2262,,Bachelor's degree,2-4 years,None,7,Good prospects
2263,,Bachelor's degree,2-4 years,None,7,Good prospects
2265,,Bachelor's degree,2-4 years,None,5,Moderate prospects
2266,,Bachelor's degree,2-4 years,None,6,Moderate prospects
2269,,Bachelor's degree,2-4 years,None,6,Moderate prospects
2310,,Bachelor's degree,2-4 years,None,7,Good prospects
23101,,Bachelor's degree,2-4 years,None,6,Moderate prospects
23102,,Bachelor's degree,2-4 years,None,6,Moderate prospects
23103,,Bachelor's degree,2-4 years,None,6,Moderate prospects
