title,category,slug,isco_code,median_pay_annual,median_pay_source,median_pay_hourly,entry_education,work_experience,training,num_jobs,employment_year,outlook_pct,outlook_desc,outlook_source,exposure,exposure_rationale,url
Occupational groups total,S,occupational-groups-total,SSSSS,,,,,,,2417365,2023,,,,5,"This represents the entire Finnish labor market, which encompasses a vast spectrum of roles ranging from highly automatable digital tasks to manual, physical labor. Because it is an aggregate of all occupations, the exposure score reflects the weighted average of both high-exposure knowledge work and low-exposure physical or interpersonal service roles.",
0  Armed forces (Level 1),0,0-armed-forces-level-1,0,58488,wages_statfin,,,,,8744,2023,,,,3,"The occupation involves significant physical, tactical, and real-time decision-making tasks that occur in unpredictable, non-digital environments. While AI is increasingly used for logistics, surveillance, and strategic planning, the core functions of military personnel remain fundamentally tied to physical presence and human judgment.",
01 Commissioned armed forces officers (Level 2),0,01-commissioned-armed-forces-officers-level-2,01,66408,wages_statfin,,,,,5129,2023,,,,4,"Commissioned officers perform a mix of high-level strategic planning, which is increasingly supported by AI-driven data analysis, and critical real-time leadership in unpredictable physical environments. While AI can assist with logistics and intelligence processing, the core requirements of command, ethical judgment, and physical presence in the field remain fundamentally human-centric.",
011 Commissioned armed forces officers (Level 3),0,011-commissioned-armed-forces-officers-level-3,011,66408,wages_statfin,,,,,5129,2023,,,,4,"Commissioned officers perform a mix of high-level strategic planning, which is increasingly supported by AI-driven data analysis, and critical real-time leadership in unpredictable physical environments. While AI can assist with logistics and intelligence processing, the core requirements of command, ethical judgment, and physical presence in the field remain fundamentally human-centric.",
0110 Commissioned armed forces officers (Level 4),0,0110-commissioned-armed-forces-officers-level-4,0110,66408,wages_statfin,,Bachelor's degree + military training,None,Military academy,5129,2023,-5,Recruitment difficult,extras_csv,4,"Commissioned officers perform a mix of high-level strategic planning, which is increasingly supported by AI-driven data analysis, and critical real-time leadership in unpredictable physical environments. While AI can assist with logistics and intelligence processing, the core requirements of command, ethical judgment, and physical presence in the field remain fundamentally human-centric.",
0110. Commissioned armed forces officers (Level 5),0,0110-commissioned-armed-forces-officers-level-5,0110.,66408,wages_statfin,,Bachelor's degree + military training,None,Military academy,5129,2023,-5,Recruitment difficult,extras_csv,4,"Commissioned officers perform a mix of high-level strategic planning, which is increasingly supported by AI-driven data analysis, and critical real-time leadership in unpredictable physical environments. While AI can assist with logistics and intelligence processing, the core requirements of command, ethical judgment, and physical presence in the field remain fundamentally human-centric.",
02 Non-commissioned armed forces officers (Level 2),0,02-non-commissioned-armed-forces-officers-level-2,02,51036,wages_statfin,,,,,3439,2023,,,,3,"The role involves significant physical, tactical, and leadership responsibilities in unpredictable environments that require real-time human judgment and presence. While AI may assist in intelligence analysis, logistics, or simulation training, the core functions of military command and field operations remain largely insulated from automation.",
021 Non-commissioned armed forces officers (Level 3),0,021-non-commissioned-armed-forces-officers-level-3,021,51036,wages_statfin,,,,,3439,2023,,,,3,"The role involves significant physical, tactical, and leadership responsibilities in unpredictable environments that require real-time human judgment and presence. While AI may assist in intelligence analysis, logistics, or simulation training, the core functions of military command and field operations remain largely insulated from automation.",
0210 Non-commissioned armed forces officers (Level 4),0,0210-non-commissioned-armed-forces-officers-level-4,0210,51036,wages_statfin,,Bachelor's degree + military training,None,Military academy,3439,2023,-5,Recruitment difficult,extras_csv,3,"The role involves significant physical, tactical, and leadership responsibilities in unpredictable environments that require real-time human judgment and presence. While AI may assist in intelligence analysis, logistics, or simulation training, the core functions of military command and field operations remain largely insulated from automation.",
0210. Non-commissioned armed forces officers (Level 5),0,0210-non-commissioned-armed-forces-officers-level-5,0210.,51036,wages_statfin,,Bachelor's degree + military training,None,Military academy,3439,2023,-5,Recruitment difficult,extras_csv,3,"The role involves significant physical, tactical, and leadership responsibilities in unpredictable environments that require real-time human judgment and presence. While AI may assist in intelligence analysis, logistics, or simulation training, the core functions of military command and field operations remain largely insulated from automation.",
"03 Armed forces occupations, other ranks (Level 2)",0,03-armed-forces-occupations-other-ranks-level-2,03,32616,wages_statfin,,,,,176,2023,,,,2,"Military roles are heavily dependent on physical presence, tactical decision-making in unpredictable environments, and manual skill. While AI may assist in logistics or surveillance, the core functions of the role remain fundamentally physical and require human judgment in high-stakes, real-world scenarios.",
"031 Armded forces occupations, other ranks (Level 3)",0,031-armded-forces-occupations-other-ranks-level-3,031,32616,wages_statfin,,,,,176,2023,,,,2,"Military occupations in this category are primarily physical, requiring real-time human presence, tactical decision-making in unpredictable environments, and manual skill. While AI may assist with logistics or data analysis at higher levels, the core duties of these roles remain largely insulated from automation.",
"0310 Armed forces occupations, other ranks (Level 4)",0,0310-armed-forces-occupations-other-ranks-level-4,0310,32616,wages_statfin,,Upper secondary,None,Military training,176,2023,-5,Recruitment difficult,extras_csv,2,"Military roles are heavily dependent on physical presence, tactical decision-making in unpredictable environments, and manual skill. While AI may assist in logistics or surveillance, the core functions of the role remain fundamentally physical and require human judgment in high-stakes, real-world scenarios.",
"0310. Armed forces occupations, other ranks (Level 5)",0,0310-armed-forces-occupations-other-ranks-level-5,0310.,32616,wages_statfin,,Upper secondary,None,Military training,176,2023,-5,Recruitment difficult,extras_csv,2,"Military roles are heavily dependent on physical presence, tactical decision-making in unpredictable environments, and manual skill. While AI may assist in logistics or surveillance, the core functions of the role remain fundamentally physical and require human judgment in high-stakes, real-world scenarios.",
1  Managers (Level 1),1,1-managers-level-1,1,89772,wages_statfin,,,,,82585,2023,,,,7,"Managers perform predominantly knowledge-based work involving data analysis, communication, and strategic decision-making, all of which are increasingly supported by AI tools. While human judgment, leadership, and interpersonal relationship management remain essential, AI is rapidly automating administrative and analytical tasks, significantly reshaping the role's productivity and structure.",
"11 Chief executives, senior officials and legislators (Level 2)",1,11-chief-executives-senior-officials-and-legislators-level-2,11,105804,wages_statfin,,,,,7212,2023,,,,7,"Chief executives perform high-level knowledge work involving strategy, communication, and complex decision-making, which are increasingly supported by AI-driven data synthesis and predictive analytics. While the role requires human leadership and interpersonal judgment that AI cannot replace, the core information-processing and analytical tasks are highly susceptible to AI-enabled productivity gains.",
111 Legislators and senior officials (Level 3),1,111-legislators-and-senior-officials-level-3,111,87432,wages_statfin,,,,,4173,2023,,,,6,"Legislators and senior officials engage in high-level knowledge work involving complex decision-making, policy analysis, and communication, which are increasingly supported by AI tools for drafting and research. However, the core of the role relies heavily on human judgment, political negotiation, and public accountability, which remain difficult to automate.",
1111 Legislators (Level 4),1,1111-legislators-level-4,1111,87984,wages_statfin,,Master's degree,5+ years,None,286,2023,5,Good prospects,extras_csv,6,"Legislators and senior officials engage in high-level knowledge work involving complex decision-making, policy analysis, and communication, which are increasingly supported by AI tools for drafting and research. However, the core of the role relies heavily on human judgment, political negotiation, and public accountability, which remain difficult to automate.",
1111. Legislators (Level 5),1,1111-legislators-level-5,1111.,87984,wages_statfin,,Master's degree,5+ years,None,286,2023,5,Good prospects,extras_csv,6,"Legislators and senior officials engage in high-level knowledge work involving complex decision-making, policy analysis, and communication, which are increasingly supported by AI tools for drafting and research. However, the core of the role relies heavily on human judgment, political negotiation, and public accountability, which remain difficult to automate.",
1112 Senior government officials (Level 4),1,1112-senior-government-officials-level-4,1112,96024,wages_statfin,,Master's degree,5+ years,None,1670,2023,5,Good prospects,extras_csv,6,"Senior government officials engage in high-level knowledge work involving policy analysis, strategic planning, and complex communication, which are increasingly supported by AI tools for drafting and data synthesis. However, the role remains heavily dependent on human judgment, political negotiation, and stakeholder management, which provide a significant buffer against full automation.",
11121 Senior central government officials (Level 5),1,11121-senior-central-government-officials-level-5,11121,93756,wages_statfin,,Bachelor's degree,3-5 years,None,1107,2023,6,Moderate prospects,extras_csv,7,"This role involves high-level knowledge work, including policy analysis, strategic planning, and complex communication, all of which are increasingly supported by AI tools. While the position requires significant human judgment, political navigation, and interpersonal leadership that AI cannot replace, the core information-processing tasks are highly susceptible to AI-driven productivity gains.",
11122 Senior district and local government officials and senior officials (Level 5),1,11122-senior-district-and-local-government-officials-and-senior-officials-level-5,11122,100644,wages_statfin,,Bachelor's degree,3-5 years,None,563,2023,6,Moderate prospects,extras_csv,6,"This role involves high-level decision-making, policy interpretation, and complex stakeholder management, which require human judgment and political nuance that AI cannot fully replicate. However, the work is predominantly digital, involving extensive report writing, data analysis, and communication, where AI tools can significantly enhance productivity and streamline administrative processes.",
1114 Senior officials of special-interest organizations (Level 4),1,1114-senior-officials-of-special-interest-organizations-level-4,1114,67188,wages_statfin,,Bachelor's degree,3-5 years,None,2217,2023,6,Moderate prospects,extras_csv,6,"This role involves significant knowledge work, including strategic planning, communication, and policy analysis, which are increasingly supported by AI tools. However, the core of the job relies on high-level human judgment, complex stakeholder management, and interpersonal influence, which remain difficult for AI to fully replicate.",
"11141 Senior officials of employers', workers' and other economic-interest organisations (Level 5)",1,11141-senior-officials-of-employers-workers-and-other-economic-interest-organisations-level-5,11141,107808,wages_statfin,,Bachelor's degree,3-5 years,None,551,2023,6,Moderate prospects,extras_csv,6,"This role involves high-level strategic decision-making, complex negotiation, and relationship management, which require human judgment and social intelligence that AI cannot easily replicate. However, the core tasks of analyzing economic data, drafting policy documents, and managing communications are increasingly susceptible to AI-driven productivity gains and automation.",
11142 Senior officials of humanitarian and other special-interest organisations (Level 5),1,11142-senior-officials-of-humanitarian-and-other-special-interest-organisations-level-5,11142,56880,wages_statfin,,Bachelor's degree,3-5 years,None,1666,2023,6,Moderate prospects,extras_csv,6,"This role involves significant knowledge work, including strategic planning, communication, and report writing, which are highly susceptible to AI-driven productivity gains. However, the core of the job requires high-level human judgment, stakeholder management, and physical presence in complex, unpredictable social or political environments, which limits the extent of automation.",
112 Managing directors and chief executives (Level 3),1,112-managing-directors-and-chief-executives-level-3,112,150240,wages_statfin,,,,,3039,2023,,,,7,"Managing directors perform high-level knowledge work involving strategy, communication, and complex decision-making, which are increasingly augmented by AI-driven analytics and generative tools. While human judgment and leadership remain essential, the core tasks of information synthesis, reporting, and operational oversight are highly susceptible to AI-driven productivity gains.",
1120 Managing directors and chief executives (Level 4),1,1120-managing-directors-and-chief-executives-level-4,1120,150240,wages_statfin,,Master's degree,5+ years,None,3039,2023,10,Very good prospects,extras_csv,7,"Managing directors perform high-level knowledge work involving strategy, communication, and complex decision-making, which are increasingly augmented by AI-driven analytics and generative tools. While human judgment and leadership remain essential, the core tasks of information synthesis, reporting, and operational oversight are highly susceptible to AI-driven productivity gains.",
1120. Managing directors and chief executives (Level 5),1,1120-managing-directors-and-chief-executives-level-5,1120.,150240,wages_statfin,,Master's degree,5+ years,None,3039,2023,10,Very good prospects,extras_csv,7,"Managing directors perform high-level knowledge work involving strategy, communication, and complex decision-making, which are increasingly augmented by AI-driven analytics and generative tools. While human judgment and leadership remain essential, the core tasks of information synthesis, reporting, and operational oversight are highly susceptible to AI-driven productivity gains.",
