code,median_pay_annual,entry_education,work_experience,training,outlook_pct,outlook_desc
0110,66408,Bachelor's degree + military training,None,Military academy,-5,Recruitment difficult
0210,51036,Bachelor's degree + military training,None,Military academy,-5,Recruitment difficult
0310,32616,Upper secondary,None,Military training,-5,Recruitment difficult
1111,86016,Master's degree,5+ years,None,5,Good prospects
1112,96012,Master's degree,5+ years,None,5,Good prospects
1120,147240,Master's degree,5+ years,None,10,Very good prospects
1211,90696,Bachelor's degree,3-5 years,None,8,Good prospects
1212,75240,Bachelor's degree,3-5 years,None,8,Good prospects
1213,66000,Bachelor's degree,3-5 years,None,7,Good prospects
1221,72000,Bachelor's degree,3-5 years,None,8,Good prospects
1222,68400,Bachelor's degree,3-5 years,None,7,Good prospects
1223,61200,Bachelor's degree,3-5 years,None,7,Good prospects
1311,55200,Bachelor's degree,2-4 years,None,8,Good prospects
1312,54000,Bachelor's degree,2-4 years,None,7,Good prospects
1321,60000,Bachelor's degree,2-4 years,None,8,Good prospects
1322,57600,Bachelor's degree,2-4 years,None,7,Good prospects
1323,52800,Bachelor's degree,2-4 years,None,6,Moderate prospects
1324,50400,Bachelor's degree,2-4 years,None,6,Moderate prospects
1330,58800,Bachelor's degree,2-4 years,None,7,Good prospects
1341,52800,Bachelor's degree,2-4 years,None,7,Good prospects
1342,49200,Bachelor's degree,2-4 years,None,6,Moderate prospects
1343,51600,Bachelor's degree,2-4 years,None,6,Moderate prospects
1344,46800,Bachelor's degree,2-4 years,None,5,Moderate prospects
1345,45600,Bachelor's degree,2-4 years,None,5,Moderate prospects
1346,44400,Bachelor's degree,2-4 years,None,5,Moderate prospects
1349,48000,Bachelor's degree,2-4 years,None,5,Moderate prospects
1411,36000,Upper secondary,None,Vocational training,3,Stable
1412,32400,Upper secondary,None,Vocational training,3,Stable
1420,33600,Upper secondary,None,Vocational training,3,Stable
1431,32400,Upper secondary,None,Vocational training,2,Stable
1439,31200,Upper secondary,None,Vocational training,2,Stable
2111,54000,Bachelor's degree,2-4 years,None,7,Good prospects
2112,52800,Bachelor's degree,2-4 years,None,7,Good prospects
2113,51600,Bachelor's degree,2-4 years,None,6,Moderate prospects
2114,55200,Bachelor's degree,2-4 years,None,7,Good prospects
2120,52800,Bachelor's degree,2-4 years,None,7,Good prospects
2131,54000,Bachelor's degree,2-4 years,None,8,Good prospects
2132,55200,Bachelor's degree,2-4 years,None,8,Good prospects
2133,52800,Bachelor's degree,2-4 years,None,7,Good prospects
2141,55200,Bachelor's degree,2-4 years,None,7,Good prospects
2142,56400,Bachelor's degree,2-4 years,None,7,Good prospects
