title,category,slug,soc_code,median_pay_annual,median_pay_source,median_pay_hourly,entry_education,work_experience,training,num_jobs_2024,projected_employment_2034,outlook_pct,outlook_desc,outlook_source,employment_change,exposure,exposure_rationale,url
Occupational groups total,S,occupational-groups-total,SSSSS,,,,,,,2417365,,,,,,,,
0  Armed forces (Level 1),0,0-armed-forces-level-1,0,58488,wages_statfin,,,,,8744,,,,,,4,"This armed forces occupation has moderate AI exposure. While some tasks (particularly administrative and routine aspects) are susceptible to automation, the role requires physical presence, manual skills, or interpersonal interaction that provides a buffer against full automation.",
01 Commissioned armed forces officers (Level 2),0,01-commissioned-armed-forces-officers-level-2,01,66408,wages_statfin,,,,,5129,,,,,,4,"This armed forces occupation has moderate AI exposure. While some tasks (particularly administrative and routine aspects) are susceptible to automation, the role requires physical presence, manual skills, or interpersonal interaction that provides a buffer against full automation.",
011 Commissioned armed forces officers (Level 3),0,011-commissioned-armed-forces-officers-level-3,011,66408,wages_statfin,,,,,5129,,,,,,4,"This armed forces occupation has moderate AI exposure. While some tasks (particularly administrative and routine aspects) are susceptible to automation, the role requires physical presence, manual skills, or interpersonal interaction that provides a buffer against full automation.",
0110 Commissioned armed forces officers (Level 4),0,0110-commissioned-armed-forces-officers-level-4,0110,66408,wages_statfin,,Bachelor's degree + military training,None,Military academy,5129,,-5,Recruitment difficult,extras_csv,,4,"This armed forces occupation has moderate AI exposure. While some tasks (particularly administrative and routine aspects) are susceptible to automation, the role requires physical presence, manual skills, or interpersonal interaction that provides a buffer against full automation.",
0110. Commissioned armed forces officers (Level 5),0,0110-commissioned-armed-forces-officers-level-5,0110.,66408,wages_statfin,,Bachelor's degree + military training,None,Military academy,5129,,-5,Recruitment difficult,extras_csv,,4,"This armed forces occupation has moderate AI exposure. While some tasks (particularly administrative and routine aspects) are susceptible to automation, the role requires physical presence, manual skills, or interpersonal interaction that provides a buffer against full automation.",
02 Non-commissioned armed forces officers (Level 2),0,02-non-commissioned-armed-forces-officers-level-2,02,51036,wages_statfin,,,,,3439,,,,,,4,"This armed forces occupation has moderate AI exposure. While some tasks (particularly administrative and routine aspects) are susceptible to automation, the role requires physical presence, manual skills, or interpersonal interaction that provides a buffer against full automation.",
021 Non-commissioned armed forces officers (Level 3),0,021-non-commissioned-armed-forces-officers-level-3,021,51036,wages_statfin,,,,,3439,,,,,,4,"This armed forces occupation has moderate AI exposure. While some tasks (particularly administrative and routine aspects) are susceptible to automation, the role requires physical presence, manual skills, or interpersonal interaction that provides a buffer against full automation.",
0210 Non-commissioned armed forces officers (Level 4),0,0210-non-commissioned-armed-forces-officers-level-4,0210,51036,wages_statfin,,Bachelor's degree + military training,None,Military academy,3439,,-5,Recruitment difficult,extras_csv,,4,"This armed forces occupation has moderate AI exposure. While some tasks (particularly administrative and routine aspects) are susceptible to automation, the role requires physical presence, manual skills, or interpersonal interaction that provides a buffer against full automation.",
0210. Non-commissioned armed forces officers (Level 5),0,0210-non-commissioned-armed-forces-officers-level-5,0210.,51036,wages_statfin,,Bachelor's degree + military training,None,Military academy,3439,,-5,Recruitment difficult,extras_csv,,4,"This armed forces occupation has moderate AI exposure. While some tasks (particularly administrative and routine aspects) are susceptible to automation, the role requires physical presence, manual skills, or interpersonal interaction that provides a buffer against full automation.",
"03 Armed forces occupations, other ranks (Level 2)",0,03-armed-forces-occupations-other-ranks-level-2,03,32616,wages_statfin,,,,,176,,,,,,3,"This armed forces occupation has low AI exposure. The work is primarily physical and hands-on, requiring manual dexterity, real-time physical coordination, or outdoor work in unpredictable environments. AI's impact is limited to peripheral support functions.",
"031 Armded forces occupations, other ranks (Level 3)",0,031-armded-forces-occupations-other-ranks-level-3,031,32616,wages_statfin,,,,,176,,,,,,3,"This armed forces occupation has low AI exposure. The work is primarily physical and hands-on, requiring manual dexterity, real-time physical coordination, or outdoor work in unpredictable environments. AI's impact is limited to peripheral support functions.",
"0310 Armed forces occupations, other ranks (Level 4)",0,0310-armed-forces-occupations-other-ranks-level-4,0310,32616,wages_statfin,,Upper secondary,None,Military training,176,,-5,Recruitment difficult,extras_csv,,3,"This armed forces occupation has low AI exposure. The work is primarily physical and hands-on, requiring manual dexterity, real-time physical coordination, or outdoor work in unpredictable environments. AI's impact is limited to peripheral support functions.",
"0310. Armed forces occupations, other ranks (Level 5)",0,0310-armed-forces-occupations-other-ranks-level-5,0310.,32616,wages_statfin,,Upper secondary,None,Military training,176,,-5,Recruitment difficult,extras_csv,,3,"This armed forces occupation has low AI exposure. The work is primarily physical and hands-on, requiring manual dexterity, real-time physical coordination, or outdoor work in unpredictable environments. AI's impact is limited to peripheral support functions.",
1  Managers (Level 1),1,1-managers-level-1,1,89520,wages_statfin,,,,,82585,,,,,,5,"This occupation is a hybrid of digital knowledge work and physical site management. While AI can significantly automate administrative tasks like recordkeeping, supply procurement, and energy pattern analysis, the role requires a physical presence to inspect facilities, oversee manual labor (janitors, repair workers), and manage real-world safety and security compliance.",
